"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
24.5,0,0,7.05927299163272
24.5,0,1,7.05639119685109
24.5,0,2,7.04994953217718
24.5,0,3,7.03995100085606
24.5,0,4,7.02640061548923
24.5,0,5,7.00930540581202
24.5,0,6,6.98867442360787
24.5,0,7,6.96451874461752
24.5,0,8,6.93685146729758
24.5,0,9,6.90568770828022
24.5,0,10,6.87104459438519
24.5,0,11,6.83294125103621
24.5,0,12,6.791398786937
24.5,0,13,6.7464402748677
24.5,0,14,6.69809072847
24.5,0,15,6.64637707489971
24.5,0,16,6.59132812323836
24.5,0,17,6.53297452857106
24.5,0,18,6.47134875165596
24.5,0,19,6.40648501413185
24.5,0,20,6.33841924923382
24.5,0,21,6.26718904801299
24.5,0,22,6.19283360108487
24.5,0,23,6.1153936359611
24.5,0,24,6.03491135005191
24.5,0,25,5.95143033946023
24.5,0,26,5.86499552372353
24.5,0,27,5.77565306669468
24.5,0,28,5.68345029378964
24.5,0,29,5.58843560586476
24.5,0,30,5.49065839002183
24.5,0,31,5.39016892767255
24.5,0,32,5.28701830022592
24.5,0,33,5.18125829279198
24.5,0,34,5.07294129632193
24.5,0,35,4.96212020862906
24.5,0,36,4.84884833475492
24.5,0,37,4.73317928716199
24.5,0,38,4.61516688624719
24.5,0,39,4.49486506167861
24.5,0,40,4.3723277550633
24.5,0,41,4.24760882445396
24.5,0,42,4.12076195119965
24.5,0,43,3.99184054963896
24.5,0,44,3.86089768012431
24.5,0,45,3.7279859658536
24.5,0,46,3.5931575139712
24.5,0,47,3.45646384138377
24.5,0,48,3.31795580571965
24.5,0,49,3.17768354184303
24.5,0,50,3.03569640431698
24.5,0,51,2.89204291619273
24.5,0,52,2.74677072448779
24.5,0,53,2.59992656270131
24.5,0,54,2.45155622070375
24.5,0,55,2.30170452232744
24.5,0,56,2.15041531097677
24.5,0,57,1.99773144356996
24.5,0,58,1.84369479311867
24.5,0,59,1.68834626024661
24.5,0,60,1.53172579394234
24.5,0,61,1.37387242183434
24.5,0,62,1.21482429026588
24.5,0,63,1.05461871443312
24.5,0,64,0.893292238828711
24.5,0,65,0.730880708205842
24.5,0,66,0.567419349239327
24.5,0,67,0.402942863011858
24.5,0,68,0.237485528391217
24.5,0,69,0.0710813162870959
24.5,0,70,-0.096235985317642
24.5,0,71,-0.264432635778463
24.5,0,72,-0.43347479599236
24.5,0,73,-0.603328372893382
24.5,0,74,-0.773958854914485
24.5,0,75,-0.945331139283115
24.5,0,76,-1.11740935223265
24.5,0,77,-1.29015666344488
24.5,0,78,-1.46353509628888
24.5,0,79,-1.63750533568602
24.5,0,80,-1.81202653570385
24.5,0,81,-1.98705612926014
24.5,0,82,-2.16254964259337
24.5,0,83,-2.33846051742128
24.5,0,84,-2.51473994395396
24.5,0,85,-2.69133670814217
24.5,0,86,-2.86819705671213
24.5,0,87,-3.04526458365141
24.5,0,88,-3.22248014185132
24.5,0,89,-3.39978178356408
24.5,0,90,-3.57710473318073
24.5,0,91,-3.75438139556254
24.5,0,92,-3.93154140274852
24.5,0,93,-4.10851170130108
24.5,0,94,-4.28521668182877
24.5,0,95,-4.46157835133297
24.5,0,96,-4.63751654796106
24.5,0,97,-4.81294919651631
24.5,0,98,-4.98779260168644
24.5,0,99,-5.16196177442825
24.5,0,100,-5.33537078531495
24.5,0,101,-5.50793313695744
24.5,0,102,-5.67956214589955
24.5,0,103,-5.85017132272243
24.5,0,104,-6.0196747375433
24.5,0,105,-6.18798735673659
24.5,0,106,-6.3550253356202
24.5,0,107,-6.5207062511212
24.5,0,108,-6.68494925814366
24.5,0,109,-6.84767515358109
24.5,0,110,-7.00880633271449
24.5,0,111,-7.16826662416478
24.5,0,112,-7.32598099166397
24.5,0,113,-7.48187509368887
24.5,0,114,-7.63587469546358
24.5,0,115,-7.78790493195934
24.5,0,116,-7.9378894252599
24.5,0,117,-8.08574926495479
24.5,0,118,-8.231401865992
24.5,0,119,-8.37475972456614
24.5,0,120,-8.51572909902437
24.5,0,121,-8.65420864930363
24.5,0,122,-8.790088074915
24.5,0,123,-8.92324679778061
24.5,0,124,-9.05355274209086
24.5,0,125,-9.18086126853121
24.5,0,126,-9.30501432442649
24.5,0,127,-9.42583987421816
24.5,0,128,-9.54315167582145
24.5,0,129,-9.65674946736327
24.5,0,130,-9.76641962510503
24.5,0,131,-9.87193634654124
24.5,0,132,-9.97306340231727
24.5,0,133,-10.0695564864169
24.5,0,134,-10.1611661759026
24.5,0,135,-10.2476414894743
24.5,0,136,-10.3287340087107
24.5,0,137,-10.4042024979171
24.5,0,138,-10.4738179293181
24.5,0,139,-10.5373687915805
24.5,0,140,-10.5946665333625
24.5,0,141,-10.645550971984
24.5,0,142,-10.6898954826097
24.5,0,143,-10.7276117775041
24.5,0,144,-10.7586540894017
24.5,0,145,-10.7830225885285
24.5,0,146,-10.8007658890757
24.5,0,147,-10.8119825367069
24.5,0,148,-10.8168214117824
24.5,0,149,-10.815481030442
24.5,0,150,-10.8082077740667
24.5,0,151,-10.7952931234305
24.5,0,152,-10.7770700138148
24.5,0,153,-10.7539084589002
24.5,0,154,-10.7262106126577
24.5,0,155,-10.6944054490016
24.5,0,156,-10.6589432389235
24.5,0,157,-10.6202899952868
24.5,0,158,-10.5789220382042
24.5,0,159,-10.5353208110429
24.5,0,160,-10.4899680508605
24.5,0,161,-10.4433413895829
24.5,0,162,-10.3959104353401
24.5,0,163,-10.3481333585201
24.5,0,164,-10.3004539853083
24.5,0,165,-10.2532993833407
24.5,0,166,-10.2070779098349
24.5,0,167,-10.1621776820924
24.5,0,168,-10.1189654232944
24.5,0,169,-10.0777856325885
24.5,0,170,-10.0389600270836
24.5,0,171,-10.0027872039903
24.5,0,172,-9.96954247326871
24.5,0,173,-9.93947781431645
24.5,0,174,-9.91282191405773
24.5,0,175,-9.88978024797172
24.5,0,176,-9.870535169886
24.5,0,177,-9.8552459805868
24.5,0,178,-9.84404894935753
24.5,0,179,-9.83705726639644
24.5,0,180,-9.83436090767323
24.5,1,0,7.05927299163272
